
   # PLAYER                                     : RATING    POINTS  PLAYED    (%)
   1 HMBLE                                      : 2932.6     145.0     222   65.3%
   2 SK Gaming                                  : 2930.4     184.0     279   65.9%
   3 ZETA DIVISION                              : 2922.8     193.0     284   68.0%
   4 Tribe Gaming                               : 2921.8     178.0     246   72.4%
   5 REJECT                                     : 2896.3     153.0     224   68.3%
   6 Toxic Lotus                                : 2883.4      23.0      50   46.0%
   7 Elevate                                    : 2878.0     167.0     252   66.3%
   8 Team Heretics                              : 2864.2     119.0     207   57.5%
   9 LOUD                                       : 2863.5     180.0     269   66.9%
  10 Crazy Raccoon                              : 2861.8     135.0     207   65.2%
  11 NAVI                                       : 2858.6     133.0     216   61.6%
  12 Reply Totem                                : 2850.8     123.0     215   57.2%
  13 NOVO Esports                               : 2847.4     113.0     208   54.3%
  14 Rival Esports                              : 2846.3     134.0     220   60.9%
  15 Papara SuperMassive                        : 2840.5      94.0     166   56.6%
  16 Team Elektros                              : 2835.3     165.0     262   63.0%
  17 Inner Circle                               : 2829.2      85.0     145   58.6%
  18 SKCalalas SA                               : 2829.0     127.0     194   65.5%
  19 Elevate0                                   : 2818.1      49.0      75   65.3%
  20 FUT Esports                                : 2817.2     136.0     228   59.6%
  21 Pioneers                                   : 2794.1     100.0     161   62.1%
  22 CASA BRAWL                                 : 2791.0     115.0     185   62.2%
  23 GAN.G ESPORTS                              : 2789.2      27.0      46   58.7%
  24 Code : Gas                                 : 2779.2      71.0     116   61.2%
  25 BC* Gaming SA                              : 2775.7     122.0     201   60.7%
  26 NIWA                                       : 2766.6     106.0     187   56.7%
  27 Alpha7 Esports                             : 2759.3     129.0     213   60.6%
  28 XPERION NXT                                : 2757.0     102.0     193   52.8%
  29 STMN                                       : 2754.8     127.0     216   58.8%
  30 KDS Esports                                : 2751.7      86.0     180   47.8%
  31 Zurita Gang                                : 2743.7     114.0     194   58.8%
  32 Dropeados F/A                              : 2742.2     109.0     187   58.3%
  33 Eternal                                    : 2736.5     109.0     196   55.6%
  34 Reverso Gaming                             : 2735.8      87.0     174   50.0%
  35 Fênix                                     : 2735.7     113.0     202   55.9%
  36 Frenzy Gaming                              : 2733.9     109.0     197   55.3%
  37 Izana is bad                               : 2730.6      68.0     118   57.6%
  38 SSG                                        : 2722.4     134.0     233   57.5%
  39 Krono Esports                              : 2705.9      39.0      64   60.9%
  40 Millesime MG                               : 2702.0      46.0      85   54.1%
  41 SORRY                                      : 2698.4      67.0     121   55.4%
  42 Name For Fame                              : 2697.0      27.0      50   54.0%
  43 FUT Academy                                : 2689.9      45.0      91   49.5%
  44 Mommy ASMR                                 : 2683.8      50.0      93   53.8%
  45 chippy chips                               : 2683.1      27.0      47   57.4%
  46 RIP OG                                     : 2682.5     101.0     188   53.7%
  47 Bound By Oath                              : 2680.8      59.0     120   49.2%
  48 GoNext                                     : 2678.1      57.0     108   52.8%
  49 EffortResult                               : 2668.1      87.0     164   53.0%
  50 F/A UK                                     : 2663.4      14.0      36   38.9%
  51 Team S2                                    : 2661.5      24.0      47   51.1%
  52 ORDER                                      : 2656.4      35.0      68   51.5%
  53 IX F/A                                     : 2650.0      21.0      48   43.8%
  54 Comeback                                   : 2645.9      25.0      47   53.2%
  55 PUZO                                       : 2641.7      13.0      31   41.9%
  56 Ace King                                   : 2640.3      56.0     103   54.4%
  57 Gen.G Esports                              : 2637.9      71.0     152   46.7%
  58 Be Bold                                    : 2635.0      21.0      36   58.3%
  59 F/A Poland                                 : 2634.7      50.0     114   43.9%
  60 Use Code                                   : 2634.7      49.0      81   60.5%
  61 Come Next 🤡                             : 2633.0      53.0      98   54.1%
  62 ブルとバズ                            : 2632.8      55.0     108   50.9%
  63 ”‬FCサジアキ‪”                 : 2627.5      31.0      58   53.4%
  64 OLD PRESON                                 : 2626.4      16.0      33   48.5%
  65 New Heights Gaming                         : 2626.0      78.0     140   55.7%
  66 Farofeiros F/A                             : 2618.6      49.0      82   59.8%
  67 Junnie.K                                   : 2616.9      23.0      45   51.1%
  68 Kana Arima                                 : 2610.0      35.0      73   47.9%
  69 Aogiri Esport                              : 2607.4      30.0      56   53.6%
  70 Ravery Esports                             : 2596.0      61.0     150   40.7%
  71 Go To Street                               : 2595.9      19.0      46   41.3%
  72 Feasible Gaming                            : 2591.8      75.0     148   50.7%
  73 Pale Fox Esports                           : 2587.8      17.0      40   42.5%
  74 Skepsis Gaming                             : 2582.7      40.0     101   39.6%
  75 MBT SUMMIT                                 : 2579.6      31.0      65   47.7%
  76 F4TALITY                                   : 2577.2      77.0     157   49.0%
  77 どれいくイク逝く                   : 2577.0      14.0      32   43.8%
  78 Team Wolvate NA                            : 2571.7      24.0      47   51.1%
  79 Angry Bear                                 : 2568.4      75.0     156   48.1%
  80 BC* Academy                                : 2566.7      22.0      44   50.0%
  81 Feasible Gaming Zero                       : 2566.2      65.0     138   47.1%
  82 NaN Esports                                : 2559.0      22.0      47   46.8%
  83 UNNAMED F/A                                : 2557.5      45.0      96   46.9%
  84 lele day                                   : 2556.2      65.0     127   51.2%
  85 Help Me                                    : 2551.4      17.0      35   48.6%
  86 Los Salchipaperos FA                       : 2549.3      22.0      37   59.5%
  87 Fug                                        : 2549.0      35.0      71   49.3%
  88 Olimpo Squad NA                            : 2548.7      44.0      87   50.6%
  89 3DBR                                       : 2547.2      35.0      67   52.2%
  90 bolibas gordinhas                          : 2545.5      49.0     105   46.7%
  91 Hey hey ok ok                              : 2544.7      14.0      33   42.4%
  92 Prodigy Esports                            : 2543.9      68.0     142   47.9%
  93 Crumbs                                     : 2541.5      79.0     173   45.7%
  94 Paurigon-Z                                 : 2533.9      35.0      96   36.5%
  95 Monaka                                     : 2524.9      34.0      74   45.9%
  96 Nobruzes F/A                               : 2524.4      30.0      53   56.6%
  97 Freezer Esports                            : 2523.6      40.0      81   49.4%
  98 Crow's Nest Esports                        : 2507.2      58.0     109   53.2%
  99 Real Ones                                  : 2502.6      57.0      99   57.6%
 100 Complexity                                 : 2493.5      45.0     102   44.1%
 101 LLC eSports                                : 2493.3      58.0     128   45.3%
 102 Inimigos do CLT F/A                        : 2490.6      20.0      53   37.7%
 103 LUX Gaming                                 : 2489.6      16.0      34   47.1%
 104 GG                                         : 2486.8      37.0      79   46.8%
 105 DPB Academy                                : 2481.0      13.0      36   36.1%
 106 No Organization Team                       : 2479.5      37.0      95   38.9%
 107 DRN                                        : 2478.1      26.0      45   57.8%
 108 マンケルビーム                      : 2476.2      32.0      73   43.8%
 109 Universum Gaming                           : 2470.7      61.0     143   42.7%
 110 SYN  GAMING                                : 2464.8      42.0      78   53.8%
 111 👯👯👯                               : 2463.2      20.0      36   55.6%
 112 TOP|Academy                                : 2456.1      29.0      65   44.6%
 113 IX Squares                                 : 2454.9      48.0     106   45.3%
 114 Desertados                                 : 2452.9      25.0      45   55.6%
 115 Only Guarras                               : 2452.5      58.0     119   48.7%
 116 Ahjin                                      : 2450.8      17.0      35   48.6%
 117 XO F/A                                     : 2442.0      20.0      47   42.6%
 118 無職透明                               : 2437.4      12.0      31   38.7%
 119 Be Humble                                  : 2431.0      28.0      69   40.6%
 120 New Meta                                   : 2430.8      10.0      32   31.2%
 121 2026                                       : 2424.4      20.0      45   44.4%
 122 CDA Esports                                : 2421.2      17.0      45   37.8%
 123 Big Dixk                                   : 2416.7      12.0      31   38.7%
 124 Nameless                                   : 2398.1      40.0      96   41.7%
 125 Dear My Friends                            : 2396.1      24.0      54   44.4%
 126 アガ民ズ                               : 2395.6      17.0      31   54.8%
 127 Glitch                                     : 2391.8      21.0      52   40.4%
 128 TENKUOTOSHI                                : 2360.2      14.0      34   41.2%
 129 HighPing😵‍💫                        : 2355.0      21.0      66   31.8%
 130 Não treinamos                             : 2351.3      40.0      84   47.6%
 131 Octane Esports                             : 2332.1      47.0      95   49.5%
 132 Quilmes     F/A                            : 2331.7      31.0      87   35.6%
 133 Crow’s Nest Esport                       : 2326.0      13.0      34   38.2%
 134 Clutch Or Cope🏆🤡                     : 2323.5      19.0      46   41.3%
 135 Ping Warriors                              : 2323.2      20.0      38   52.6%
 136 サ終                                     : 2318.4      16.0      40   40.0%
 137 Coquitos eSports                           : 2316.5      15.0      46   32.6%
 138 Sesu                                       : 2310.7      17.0      53   32.1%
 139 Worst Generation                           : 2307.0      24.0      63   38.1%
 140 AC/DC⚡                                   : 2306.4      20.0      37   54.1%
 141 Los prietos 🐐                           : 2306.1      22.0      51   43.1%
 142 Opkids                                     : 2303.0      19.0      47   40.4%
 143 Codinome z                                 : 2278.7      19.0      38   50.0%
 144 Chill Guys                                 : 2273.6      19.0      58   32.8%
 145 H                                          : 2263.5      31.0      91   34.1%
 146 Pitchulas                                  : 2261.8      15.0      50   30.0%
 147 Patata Sports                              : 2232.4      11.0      36   30.6%
 148 RedBull                                    : 2232.2      14.0      46   30.4%
 149 Axolotl eSports                            : 2224.6      18.0      41   43.9%
 150 The Becas                                  : 2223.4      10.0      33   30.3%
 151 sua                                        : 2211.8      14.0      37   37.8%
 152 CONTRA SQUAD UI                            : 2182.1      13.0      32   40.6%
 153 Thunderbolts                               : 2175.9      10.0      30   33.3%
 154 Cabritos                                   : 2172.5      15.0      36   41.7%
 155 Tilinesios                                 : 2161.1      15.0      31   48.4%
 156 Conquerors                                 : 2136.2      13.0      35   37.1%
